1,31.72,36,35.3,19.58,47.6,42.3,30.6,54.72,16.65,19.58,
2,31.72,108,35.3,91.58,47.6,1143,30.6,126.72,16.65,91.58,
3,31.72,180,35.3,163.58,47.6,186.3,30.6,198.72,16.65,163.58,
4,31.72,252,35.3,235.58,47.6,258.3,30.6,270.72,16.65,235.58,
5,31.72,324,35.3,307.58,47.6,330.3,30.6,342.72,16.65,307.58,
6,58.28,72,67.71,74.63,55.02,91.23,48.92,68.77,64.18,54.55,
7,58.28,144,67.71,146.63,55.02,163.23,48.92,140.77,64.18,126.55,
8,58.28,216,67.71,218.63,55.02,235.23,48.92,212.77,64.18,198.55,
9,58.28,288,67.71,290.63,55.02,307.23,48.92,284.77,64.18,270.55,
10,58.28,0,67.71,2.63,55.02,19.23,48.92,356.77,64.18,342.55,
11,90,18,87.15,8.71,105.79,13.65,92.85,27.29,74.21,22.35,
12,90,54,97.01,47.25,100.78,66.39,82.99,60.75,79.22,41.61,
13,90,90,87.15,80.71,105.79,85.65,92.85,99.29,74.21,94.35,
14,90,126,97.01,119.25,100.78,138.39,82.99,132.75,79.22,113.61,
15,90,162,87.15,152.71,105.79,157.65,92.85,171.29,74.21,166.35,
16,90,198,97.01,191.25,100.78,210.39,82.99,204.75,79.22,185.61,
17,90,234,87.15,224.71,105.79,229.65,92.85,243.29,74.21,238.35,
18,90,270,97.01,263.25,100.78,282.39,82.99,276.75,79.22,257.61,
19,90,306,87.15,296.71,105.79,301.65,92.85,315.29,74.21,310.35,
20,90,342,97.01,335.25,100.78,354.39,82.99,348.75,79.22,329.61,
21,121.72,36,112.29,33.37,124.98,16.77,131.08,39.23,115.82,53.45,
22,121.72,108,112.29,105.37,124.98,88.77,131.08,111.23,115.82,125.45,
23,121.72,180,112.29,177.37,124.98,160.77,131.08,183.23,115.82,197.45,
24,121.72,252,112.29,249.37,124.98,232.77,131.08,255.23,115.82,269.45,
25,121.72,324,112.29,321.37,124.98,304.77,131.08,327.23,115.82,341.45,
26,148.28,72,144.7,88.42,132.4,65.7,149.4,53.28,163.35,88.42,
27,148.28,144,144.7,160.42,132.4,137.7,149.4,125.28,163.35,160.42,
28,148.28,216,144.7,232.42,132.4,209.7,149.4,197.28,163.35,232.42,
29,148.28,288,144.7,304.42,132.4,281.7,149.4,269.28,163.35,304.42,
30,148.28,0,144.7,16.42,132.4,253.7,149.4,341.28,163.35,16.42,
